id,title,status,created,updated,tags,source_id,chapter,page,kindle_location,screenshot_file,evidence_category,confidence,claim,summary,evidence_note,limitations,creative_use,people,events,places,organizations,themes,related_fact_cards,related_questions
FACT_MEXEMP_2290,Escobedoは破れた共和派線をふさぐため大部隊を派遣した,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,Miramónが再編している間、Escobedoは共和派線の穴をふさぐため、Supremos Poderesを含む多数の兵を回り込ませた。,Miramónが再編している間、Escobedoは共和派線の穴をふさぐため、Supremos Poderesを含む多数の兵を回り込ませた。,Source note: Supremos Poderes Japanese note: Escobedoの迅速な再配置。,Cautions: Supremos Poderesの性格・正式名称を確認。 Verification needed: yes.,共和派側の統制力を示す場面に使える。,Mariano Escobedo; Benito Juárez,attempted breakout from Querétaro,Querétaro,republican forces; Supremos Poderes; Juárez’s personal guard,republican countermeasure; command response,,
FACT_MEXEMP_2291,Maximilianは自ら進軍を率いることを決めた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,Miramónの準備後、Maximilianは自ら進軍を率いることを決め、Miramónを右、Salm-Salmを左に置いて高地へ進んだ。,Miramónの準備後、Maximilianは自ら進軍を率いることを決め、Miramónを右、Salm-Salmを左に置いて高地へ進んだ。,Source note: lead the march Japanese note: 皇帝自らの前線行動。,Cautions: 勇気と軍事的能力は区別する。 Verification needed: yes.,勇敢さと危うさを同時に描ける。,Maximilian; Miguel Miramón; Prince Felix Salm-Salm,attempted breakout from Querétaro,Querétaro,imperial army,imperial leadership; battlefield command,,
FACT_MEXEMP_2292,Escobedo軍は高地で防御態勢を整えた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,帝政側が坂を上る途中、Escobedoの兵が頂上部に現れ、防御態勢を整えた。,帝政側が坂を上る途中、Escobedoの兵が頂上部に現れ、防御態勢を整えた。,Source note: crest Japanese note: 高地を押さえた共和派側の再防御。,Cautions: 地形名は次資料で確認。 Verification needed: yes.,地形優位を示す戦闘描写に使える。,Mariano Escobedo,attempted breakout from Querétaro,Querétaro,republican forces; imperial army,high ground; defensive position,,
FACT_MEXEMP_2293,共和派側の一斉射撃と騎兵側面攻撃が帝政側前進を止めた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,共和派側は一斉射撃と騎兵の側面攻撃により、帝政側の前進を停止させた。,共和派側は一斉射撃と騎兵の側面攻撃により、帝政側の前進を停止させた。,Source note: tremendous volley Japanese note: 第二段階の帝政側攻撃は失敗。,Cautions: 共和派側の兵力・配置は要確認。 Verification needed: yes.,勝利から敗走への反転場面に使える。,Maximilian; Mariano Escobedo,attempted breakout from Querétaro,Querétaro,republican forces; imperial army,volley fire; cavalry; failed assault,,
FACT_MEXEMP_2294,Salm-SalmはMaximilianに退却を求めた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,primary_testimony,probable,前進が止まる中、Salm-SalmはMaximilianの腕をつかんで退却を求め、Maximilianは不本意ながら退却した。,前進が止まる中、Salm-SalmはMaximilianの腕をつかんで退却を求め、Maximilianは不本意ながら退却した。,Source note: insisted on retreat Japanese note: Salm-Salm視点を含む可能性が高い。,Cautions: 回想由来なら自己正当化の可能性あり。 Verification needed: yes.,皇帝を引き戻す側近の場面に使える。,Maximilian; Prince Felix Salm-Salm,attempted breakout from Querétaro,Querétaro,imperial army,battlefield retreat; personal intervention,,
FACT_MEXEMP_2295,Salm-Salmは退却時の混乱を記録した,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,primary_testimony,probable,Salm-Salmは、退却時に帝政側兵士が混乱して逃げたと記録している。,Salm-Salmは、退却時に帝政側兵士が混乱して逃げたと記録している。,Source note: flying in disorder Japanese note: 直接引用部分に由来。,Cautions: Salm-Salm本人証言は立場性を考慮。 Verification needed: yes.,退却の恐怖と秩序崩壊に使える。,Prince Felix Salm-Salm,attempted breakout from Querétaro,Querétaro,imperial army,rout; eyewitness account,,
FACT_MEXEMP_2296,Salm-Salmは退却時損失を約250人と見積もった,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,primary_testimony,probable,Salm-Salmは、退却時の恐慌の中で約250人が失われたと見積もった。,Salm-Salmは、退却時の恐慌の中で約250人が失われたと見積もった。,Source note: 250 men Japanese note: 損失数はSalm-Salm推計。,Cautions: 推計値であり、戦死・捕虜・離散の内訳は未確認。 Verification needed: yes.,損害の大きさを示す数値として使える。,Prince Felix Salm-Salm,attempted breakout from Querétaro,Querétaro,imperial army,casualties; retreat,,
FACT_MEXEMP_2297,共和派は南方脱出路を再び封鎖した,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,帝政側が元の陣地へ戻ると、共和派は自陣を再占拠し、南方からの脱出路を遮断した。,帝政側が元の陣地へ戻ると、共和派は自陣を再占拠し、南方からの脱出路を遮断した。,Source note: cutting off escape Japanese note: 初動勝利後の突破機会は失われた。,Cautions: 脱出路の地理は地図で確認。 Verification needed: yes.,包囲の再固定化として使える。,Mariano Escobedo,attempted breakout from Querétaro,Querétaro,republican forces; imperial army,encirclement; siege warfare,,
FACT_MEXEMP_2298,Salm-Salmは東方突破の可能性をなお信じていた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,primary_testimony,probable,Salm-Salmは、Escobedoが部隊を移動させた後で共和派線が弱くなった東方なら、小部隊が突破できる可能性があると考えていた。,Salm-Salmは、Escobedoが部隊を移動させた後で共和派線が弱くなった東方なら、小部隊が突破できる可能性があると考えていた。,Source note: break out to the east Japanese note: Salm-Salmの判断。,Cautions: 実際の可能性は別途軍事情勢で確認。 Verification needed: yes.,指揮官間の意見対立に使える。,Prince Felix Salm-Salm; Mariano Escobedo,attempted breakout from Querétaro,Querétaro,imperial army; republican forces,escape plan; military judgment,,
FACT_MEXEMP_2299,Maximilianは負傷者と市の運命を理由に東方突破を拒んだ,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,primary_testimony,probable,Maximilianは、残される市や連れて行けない負傷者の運命を理由に、少数での東方突破案を拒んだとされる。,Maximilianは、残される市や連れて行けない負傷者の運命を理由に、少数での東方突破案を拒んだとされる。,Source note: wounded Japanese note: Maximilianの発言として紹介される。,Cautions: 発言原典未確認。美化された回想の可能性も留保。 Verification needed: yes.,名誉・責任・自己犠牲の人物造形に使える。,Maximilian; Prince Felix Salm-Salm,Siege of Querétaro,Querétaro,imperial army,wounded soldiers; imperial responsibility,,
FACT_MEXEMP_2300,Querétaroでは食糧事情がさらに悪化した,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,奪取した物資にもかかわらず、Querétaroではトルティーヤと豆を中心とする食糧が尽き、兵士は飢え始めた。,奪取した物資にもかかわらず、Querétaroではトルティーヤと豆を中心とする食糧が尽き、兵士は飢え始めた。,Source note: frijoles Japanese note: 奪取物資は持続的補給にはならなかった。,Cautions: 食糧不足の数量的裏取りが必要。 Verification needed: yes.,包囲下の日常悪化に使える。,,Siege of Querétaro,Querétaro,imperial army,starvation; siege logistics,,
FACT_MEXEMP_2301,帝政側兵士の脱走は一日十人から二十人規模になった,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,Querétaroでは脱走が深刻化し、毎日十人から二十人の兵士が共和派陣営へ越境した。,Querétaroでは脱走が深刻化し、毎日十人から二十人の兵士が共和派陣営へ越境した。,Source note: ten to twenty Japanese note: 共和派陣営が比較的食糧を持っていたことも示される。,Cautions: 脱走者数は推計か記録か要確認。 Verification needed: yes.,帝政側崩壊の進行を示す。,,Siege of Querétaro,Querétaro,imperial army; republican forces,desertion; morale collapse,,
FACT_MEXEMP_2302,公式発表はMárquez救援を主張したが町では信じられなくなった,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,author_interpretation,probable,帝政側の公式発表はMárquezが救援に向かっていると維持したが、Querétaro市内では誰も信じなくなっていた。,帝政側の公式発表はMárquezが救援に向かっていると維持したが、Querétaro市内では誰も信じなくなっていた。,Source note: official bulletins Japanese note: 士気維持用発表の信用低下。,Cautions: 誰も信じないという叙述は一般化を含む。 Verification needed: yes.,宣伝と現実の乖離として使える。,Leonardo Márquez,Siege of Querétaro,Querétaro,Mexican Empire; official bulletins,propaganda; morale collapse; information control,,
FACT_MEXEMP_2303,戦闘・疾病・脱走により帝政側は塹壕維持が困難になった,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,継続する戦闘、疾病、脱走により帝政側兵力は減少し、塹壕を十分に守ることが困難になった。,継続する戦闘、疾病、脱走により帝政側兵力は減少し、塹壕を十分に守ることが困難になった。,Source note: man the trenches Japanese note: 包囲守備の維持能力が落ちている。,Cautions: 病気の種類や人数は未確認。 Verification needed: yes.,軍の消耗と限界の描写に使える。,,Siege of Querétaro,Querétaro,imperial army,manpower shortage; trench warfare; disease,,
FACT_MEXEMP_2304,馬を失った騎兵は兵数補填のため前線に出された,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,餓死で馬を失った騎兵は、兵数を補うため前線へ回された。,餓死で馬を失った騎兵は、兵数を補うため前線へ回された。,Source note: horses had died Japanese note: 騎兵の実質的歩兵化。,Cautions: どの騎兵部隊かは未確認。 Verification needed: yes.,包囲戦の物資欠乏を象徴する描写に使える。,,Siege of Querétaro,Querétaro,imperial army; cavalry,horse starvation; manpower shortage,,
FACT_MEXEMP_2305,Maximilianの食事は酢漬けの焼きラバ肉にまで落ちた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,包囲下の食糧不足により、Maximilianの食事も酢で味付けした焼きラバ肉のような粗末なものになっていた。,包囲下の食糧不足により、Maximilianの食事も酢で味付けした焼きラバ肉のような粗末なものになっていた。,Source note: roast mule Japanese note: 皇帝食卓の窮乏。,Cautions: 食事描写は逸話性があるため裏取りが望ましい。 Verification needed: yes.,帝国の没落を食事で示せる。,Maximilian,Siege of Querétaro,Querétaro,Mexican Empire,food shortage; imperial decline,,
FACT_MEXEMP_2306,BlasioによればMiramónは猫肉パイの冗談を披露した,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,primary_testimony,probable,Blasioによれば、ある夕食で客人がパイを食べている途中、Miramónがそれを猫肉であるかのように明かす冗談を言った。,Blasioによれば、ある夕食で客人がパイを食べている途中、Miramónがそれを猫肉であるかのように明かす冗談を言った。,Source note: Blasio Japanese note: 猫肉パイの逸話。,Cautions: 逸話として扱い、確定事実化しすぎない。 Verification needed: yes.,極限状況の黒い冗談として使える。,José Luis Blasio; Miguel Miramón; Maximilian,Siege of Querétaro,Querétaro,Mexican Empire,siege anecdote; food shortage; gallows humor,,
FACT_MEXEMP_2307,Shawcrossは猫肉パイ逸話の滑稽さを酒の存在と関連づけた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,author_interpretation,probable,Shawcrossは、食糧不足の一方でワインやシャンパンが残っていたことが、この猫肉パイの冗談をより滑稽にした可能性があると評している。,Shawcrossは、食糧不足の一方でワインやシャンパンが残っていたことが、この猫肉パイの冗談をより滑稽にした可能性があると評している。,Source note: champagne Japanese note: 著者の解釈を含む。,Cautions: 食料と酒の残存状況は別途確認。 Verification needed: yes.,退廃と窮乏の対比に使える。,Edward Shawcross; Maximilian; Miguel Miramón,Siege of Querétaro,Querétaro,Mexican Empire,irony; imperial decadence; siege anecdote,,
FACT_MEXEMP_2308,5月5日、共和派陣営ではPueblaでのフランス敗北記念が祝われた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,5月5日、共和派陣営では1862年にPuebla郊外でフランス軍を破った記念日として祝賀が行われた。,5月5日、共和派陣営では1862年にPuebla郊外でフランス軍を破った記念日として祝賀が行われた。,Source note: May 5 Japanese note: Cinco de Mayoに相当する文脈。,Cautions: 祝賀の具体規模は要確認。 Verification needed: yes.,共和国側の歴史的記憶と士気の表現に使える。,,Battle of Puebla anniversary; Siege of Querétaro,Querétaro; Puebla,republican forces; Republic of Mexico; French army,republican memory; anti-French resistance,,
FACT_MEXEMP_2309,5月5日夜、共和派砲兵はQuerétaroへの砲撃を激化させた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,5月5日夜、共和派砲兵は花火の代わりのように協調して砲撃を強め、Querétaro周辺の丘陵を砲火で照らした。,5月5日夜、共和派砲兵は花火の代わりのように協調して砲撃を強め、Querétaro周辺の丘陵を砲火で照らした。,Source note: firework display Japanese note: 祝賀と砲撃が結びついた描写。,Cautions: 砲数や砲撃強度は共和派側史料で確認。 Verification needed: yes.,視覚的に強い夜間砲撃場面に使える。,,May 5 bombardment; Siege of Querétaro,Querétaro,republican artillery; Republic of Mexico,artillery bombardment; psychological warfare,,
FACT_MEXEMP_2310,Querétaro市街はほぼ常時砲撃を受けていた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,5月5日の砲撃は特に激しかったが、Querétaro市街はそれ以前からほぼ常時砲撃を受けていた。,5月5日の砲撃は特に激しかったが、Querétaro市街はそれ以前からほぼ常時砲撃を受けていた。,Source note: near-constant Japanese note: 砲撃は一夜限りではない。,Cautions: 民間被害の規模は要確認。 Verification needed: yes.,包囲都市の日常化した恐怖に使える。,,Siege of Querétaro,Querétaro,republican artillery; imperial army,urban bombardment; siege warfare,,
